KEY,Russian,English,Spanish,Germany
Quest.NPC_ID_BOB.name,Боб,Bob,,
Quest.NPC_ID_BOB.id.OpenMainGate,Беги,Run,,
Quest.NPC_ID_BOB.desc.OpenMainGate,Открой ворота и беги от седа ,Open gate and escape this place,,
Quest.NPC_ID_BOB.id.TradeFirstStep,,,,
Quest.NPC_ID_BOB.desc.TradeFirstStep,,,,
id.3,,,,
desc.3,,,,
id.4,,,,
desc.4,,,,
id.5,,,,
desc.5,,,,
id.6,,,,
desc.6,,,,
id.7,,,,
desc.7,,,,
id.8,,,,
desc.8,,,,
id.9,,,,
desc.9,,,,
id.10,,,,
desc.10,,,,
Quest.NPC_ID_CONNOR.name,Коннор,Connor,,
Quest.NPC_ID_CONNOR.id.BringBeer,,,,
Quest.NPC_ID_CONNOR.desc.BringBeer,,,,
Quest.NPC_ID_CONNOR.id.CleanGarage,,,,
Quest.NPC_ID_CONNOR.desc.CleanGarage,,,,
