KEY,Russian,English,Spanish,Germany
Item.name.0,малое зелье здоровья,Health Potion,Poción de salud menor,Kleiner Heiltrank
Item.desc.0,,,,
Item.name.1,малое зелье выносливости,Lesser Stamina Potion,Poción de resistencia menor,Kleiner Ausdauertrank
Item.desc.1,,,,
Item.name.2,среднее зелье здоровья,Medium Health Potion,Poción de salud mediana,Mittlerer Heiltrank
Item.desc.2,,,,
Item.name.3,среднее зелье выносливости,Medium Stamina Potion,Poción de resistencia mediana,Mittlerer Ausdauertrank
Item.desc.3,,,,
Item.name.4,Статуэтка разработчиков,Developers' Statuette,Estatuilla de los desarrolladores,Entwickler-Statuette
Item.desc.4,Не бросское описание небольшой каменной статуи в виде богини олицетворяющей покой и процветание в коде и душе. ,"A subtle description of a small stone statue in the form of a goddess, embodying peace and prosperity in code and soul.","Una descripción discreta de una pequeña estatua de piedra con forma de diosa, que encarna la paz y la prosperidad en el código y el alma.","Eine dezente Beschreibung einer kleinen Steinstatue in Form einer Göttin, die Ruhe und Wohlstand in Code und Seele verkörpert."
Item.name.5,Супер Статуэтка Разработчиков,Super Developers Statuette,Super Estatuilla de Desarrolladores,Super-Entwickler-Statuette
Item.desc.5,Особое описание небольшой каменной статуи в виде богини олицетворяющей покой и процветание в коде и душе. ,A special description of a small stone statue in the form of a goddess embodying peace and prosperity in code and soul.,Una descripción especial de una pequeña estatua de piedra con la forma de una diosa que encarna la paz y la prosperidad en el código y en el alma.,"Eine besondere Beschreibung einer kleinen Steinfigur in Form einer Göttin, die Ruhe und Wohlstand im Code und in der Seele verkörpert."
Item.name.6,Test,,,
Item.desc.6,None,,,
Item.name.7,Голова,Bad Head,,
Item.desc.7,Удобная бронь для головушки," A comfortable helm for the little head.",Un casco cómodo para la cabecita.,Ein bequemer Helm für das Köpfchen.
Item.name.8,Equip 0010,,,
Item.desc.8,Просто экипировка,Just equipment.,Simplemente equipamiento.,Einfach nur Ausrüstung.
Item.name.9,,,,
Item.desc.9,,,,
Item.name.10,,,,
Item.desc.10,,,,
Item.name.11,,,,
Item.desc.11,,,,
Item.name.12,,,,
Item.desc.12,,,,
Item.name.13,,,,
Item.desc.13,,,,
Item.name.14,,,,
Item.desc.14,,,,
Item.name.15,,,,
Item.desc.15,,,,
Item.name.16,,,,
Item.desc.16,,,,
Item.name.17,,,,
Item.desc.17,,,,
Item.name.18,,,,
Item.desc.18,,,,
Item.name.19,,,,
Item.desc.19,,,,
Item.name.20,,,,
Item.desc.20,,,,
Item.name.21,,,,
Item.desc.21,,,,
Item.name.22,,,,
Item.desc.22,,,,
Item.name.23,,,,
Item.desc.23,,,,
Item.name.24,,,,
Item.desc.24,,,,
